Tipo de Sentimento,Comentário,Classificação
Positivo,"Fiz uma consulta de medicina regenerativa promissora.",Medicina Regenerativa
Positivo,"As células estaminais do cordão do meu filho estão guardadas aqui.",Banco Células
Positivo,"Fui muito bem atendido em todas as fases do tratamento.",Atendimento Hospitalar
Positivo,"O Hospital da Luz é a minha escolha número 1 para toda a família.",Recomendação
Positivo,"Aqui tratam-nos como pessoas, não como clientes. Obrigado!",Atendimento Hospitalar
Positivo,"Fiz uma histeroscopia diagnóstica e a Dra. Ana foi extremamente delicada e profissional. Saí super tranquila.",Ginecologia
Positivo,"O serviço de medicina nuclear é rápido e os técnicos explicam tudo com muita paciência.",Medicina Nuclear
Positivo,"Fiz PET-CT e o relatório chegou em 48h. Excelente qualidade e rapidez.",Imagiologia
Positivo,"A unidade de cuidados intensivos salvou o meu pai. Equipa incrível, humana e altamente qualificada.",UCI
Positivo,"O hospital tem um helicóptero para transferências urgentes – segurança máxima.",Via Verde
Positivo,"Fiz quimioterapia e as enfermeiras do hospital de dia oncológico são anjos da guarda.",Oncologia
Positivo,"O serviço de radioterapia é de última geração e com efeitos secundários mínimos.",Radioterapia
Positivo,"Fui operado por laparoscopia e no próprio dia já estava em casa. Incrível!",Cirurgia Minimamente Invasiva
Positivo,"A equipa de transplante hepático é referência nacional. Orgulho de ter sido tratado aqui.",Transplantes
Positivo,"O hospital tem um laboratório de sono excelente. Finalmente descobriram o meu problema.",Medicina do Sono
Positivo,"Fiz uma consulta de alergologia e imunoterapia. Resultados fantásticos em poucos meses.",Alergologia
Positivo,"O serviço de dor crónica mudou a minha vida. Finalmente vivo sem dores constantes.",Dor Crónica
Positivo,"Fiz braquiterapia prostática e tudo correu perfeitamente.",Oncologia
Positivo,"A unidade de AVC tem protocolo rápido e salvou a mobilidade da minha mãe.",AVC
Positivo,"O hospital tem um centro de epilepsia de referência. Excelente acompanhamento.",Epilepsia
Positivo,"Fiz estimulação cardíaca e o pacemaker foi colocado com toda a segurança.",Cardiologia
Positivo,"A equipa de cirurgia cardíaca pediátrica é maravilhosa. O meu bebé está perfeito.",Cardiologia Pediátrica
Positivo,"Fiz ablação por cateter e o coração voltou ao ritmo normal.",Arritmologia
Positivo,"O serviço de hemodinâmica funciona 24h. Salvaram-me a vida às 4 da manhã.",Hemodinâmica
Positivo,"Fiz uma angioplastia coronária e no dia seguinte já estava em casa.",Cardiologia Intervencionista
Positivo,"O hospital tem um robot cirúrgico Da Vinci de última geração. Recuperação incrível.",Cirurgia Robótica
Positivo,"Fiz cirurgia bariátrica e o acompanhamento multidisciplinar é espectacular.",Cirurgia Bariátrica
Positivo,"A unidade de queimados é referência. Cuidaram do meu filho com muito carinho.",Queimados
Positivo,"Fiz transplante de medula e a equipa de hematologia é fantástica.",Hematologia
Positivo,"O serviço de medicina hiperbárica ajudou imenso na cicatrização.",Medicina Hiperbárica
Positivo,"Fiz uma consulta de medicina aeroespacial (sou piloto) e foi super completa.",Medicina Aeroespacial
Positivo,"O hospital tem um centro de investigação clínica excelente.",Investigação
Positivo,"Fiz um ensaio clínico aqui e o acompanhamento foi impecável.",Ensaios Clínicos
Positivo,"O serviço de telemonitorização cardíaca dá-me muita tranquilidade em casa.",Telemonitorização
Positivo,"Fiz uma consulta em segunda opinião e valeu cada euro.",Segunda Opinião
Positivo,"O hospital tem um programa VIP para doentes internacionais – tudo em inglês e perfeito.",Internacional
Positivo,"Fiz cirurgia refrativa aos olhos e no dia seguinte já via 100%. Incrível!",Oftalmologia
Positivo,"A unidade de retina é das melhores da Europa.",Oftalmologia
Positivo,"Fiz implante coclear no meu filho surdo e ele já ouve e fala!",Otorrinolaringologia
Positivo,"O serviço de voz e deglutição é excelente.",Foniatria
Positivo,"Fiz rinoplastia funcional e estética – respiração e visual perfeitos.",Cirurgia Plástica
Positivo,"O hospital tem um centro de fertilidade com taxas de sucesso altíssimas.",PMA
Positivo,"Fiz preservação de fertilidade antes da quimioterapia. Deram-me esperança.",Oncofertilidade
Positivo,"A unidade de medicina materno-fetal acompanhou a minha gravidez de risco. Bebé perfeito.",Medicina Materno-Fetal
Positivo,"Fiz amniocentese e o resultado chegou em 48h. Muito rápido.",Genética
Positivo,"O hospital tem um banco de sangue do cordão umbilical próprio.",Células Estaminais
Positivo,"Fiz parto na água e foi uma experiência inesquecível e tranquila.",Parto Humanizado
Positivo,"A equipa de neonatologia cuidou do meu prematuro de 28 semanas. Hoje está perfeito.",Neonatologia
Positivo,"O hospital tem um programa de aleitamento materno fantástico.",Aleitamento
Positivo,"Fiz ligadura de trompas por videolaparoscopia – recuperação em 2 dias.",Ginecologia
Positivo,"O serviço de menopausa é muito completo e humano.",Menopausa
Positivo,"Fiz histerectomia robótica e voltei ao trabalho em 10 dias.",Cirurgia Robótica
Positivo,"A unidade de endometriose é referência nacional.",Endometriose
Positivo,"Fiz miomectomia preservando o útero. Sonho de ser mãe mantido.",Ginecologia
Positivo,"O hospital tem um centro de incontinência urinária excelente.",Uroginecologia
Positivo,"Fiz cirurgia de prolapso e recuperei a qualidade de vida.",Uroginecologia
Positivo,"O serviço de sexologia ajudou imenso o meu casamento.",Sexologia
Positivo,"Fiz vasectomia sem bisturi – 15 minutos e zero dor.",Urologia
Positivo,"O hospital tem um litotriptor de última geração para pedras nos rins.",Urologia
Positivo,"Fiz prostatectomia robótica e a continência voltou rápido.",Cirurgia Robótica
Positivo,"A unidade de andrologia resolveu o meu problema de fertilidade masculina.",Andrologia
Positivo,"Fiz circuncisão a laser – recuperação rapidíssima.",Urologia
Positivo,"O serviço de medicina do sono pediátrica ajudou o meu filho a dormir finalmente.",Pediátrico
Positivo,"Fiz testes de alergia alimentar e descobrimos tudo.",Alergologia Pediátrica
Positivo,"O hospital tem uma piscina de reabilitação pediátrica ótima.",Reabilitação Pediátrica
Positivo,"Fiz vacinação internacional para viagem e tudo perfeito.",Vacinação Viagem
Positivo,"O serviço de dermatologia pediátrica é muito cuidadoso com as crianças.",Dermatologia Pediátrica
Positivo,"Fiz ortodontia no meu filho e o sorriso ficou perfeito.",Ortodontia
Positivo,"O hospital tem um centro de neurodesenvolvimento infantil excelente.",Neurodesenvolvimento
Positivo,"Fiz terapia da fala e o meu filho começou a falar.",Terapia da Fala
Positivo,"A equipa de psicologia infantil é fantástica.",Psicologia Infantil
Positivo,"Fiz cirurgia de fimose no meu filho e correu tudo bem.",Cirurgia Pediátrica
Positivo,"O hospital tem uma urgência pediátrica separada – muito mais calma.",Urgência Pediátrica
Positivo,"Fiz broncoscopia no meu filho e a equipa foi incrível.",Pneumologia Pediátrica
Positivo,"O serviço de gastroenterologia pediátrica resolveu as cólicas do bebé.",Gastro Pediátrica
Positivo,"Fiz testes genéticos para doenças raras e tivemos resposta rápida.",Genética
Positivo,"O hospital tem um programa para crianças com TDAH excelente.",TDAH
Positivo,"Fiz cirurgia de estrabismo no meu filho e os olhos ficaram perfeitos.",Oftalmologia Pediátrica
Positivo,"A equipa de ortopedia pediátrica é muito cuidadosa.",Ortopedia Pediátrica
Positivo,"Fiz colocação de tubos de ventilação (diabinhos) e o ouvido melhorou logo.",Otorrino Pediátrica
Positivo,"O hospital tem uma brinquedoteca na pediatria – as crianças adoram.",Pediátrico
Positivo,"Fiz ecografia 4D do bebé e foi emocionante.",Obstetrícia
Positivo,"O serviço de nutrição pediátrica ajudou o meu filho a ganhar peso.",Nutrição
Positivo,"Fiz testes de intolerâncias alimentares e finalmente sabemos o que evitar.",Nutrição
Positivo,"O hospital tem um chef que adapta menus para doentes com restrições.",Nutrição
Positivo,"Fiz um programa de perda de peso com endocrinologista e nutricionista – perdi 25 kg!",Obesidade
Positivo,"O serviço de medicina anti-aging é excelente.",Medicina Anti-Aging
Positivo,"Fiz check-up executivo completo e valeu cada euro.",Check-up
Positivo,"O hospital tem um concierge para doentes VIP – tudo facilitado.",Serviço VIP
Positivo,"Fiz todos os exames num só dia no check-up premium.",Check-up
Positivo,"O relatório do check-up é super detalhado e com recomendações personalizadas.",Check-up
Positivo,"O hospital tem acordos com empresas para medicina do trabalho – tudo rápido.",Medicina do Trabalho
Positivo,"Fiz testes de esforço e o cardiologista foi excelente.",Cardiologia Desportiva
Positivo,"O hospital patrocina atletas de alta competição – nota-se a qualidade.",Medicina Desportiva
Positivo,"Fiz reabilitação após lesão desportiva e voltei a competir.",Reabilitação Desportiva
Positivo,"O hospital tem uma piscina olímpica para hidroterapia.",Reabilitação
Positivo,"Fiz um programa de cessação tabágica e parei de fumar.",Pneumologia
Positivo,"O serviço de saúde mental é discreto e muito profissional.",Saúde Mental
Positivo,"Fiz terapia cognitivo-comportamental e mudou a minha vida.",Psicologia
Positivo,"O hospital tem um programa de mindfulness para doentes e funcionários.",Bem-estar
Positivo,"Fiz yoga terapêutica no hospital e as dores nas costas desapareceram.",Bem-estar
Positivo,"O hospital tem um jardim terapêutico lindo.",Instalações
Positivo,"Fiz massagem de drenagem linfática pós-cirurgia – excelente.",Reabilitação
Positivo,"O hospital tem um spa médico com tratamentos fantásticos.",Bem-estar
Positivo,"Fiz peeling e laser facial – pele renovada.",Dermatologia Estética
Positivo,"O hospital tem um cabeleireiro para doentes oncológicos – muito importante.",Apoio Oncológico
Positivo,"Fiz maquilhagem corretiva após cirurgia – ganhei confiança.",Estética
Positivo,"O hospital oferece perucas grátis para doentes em quimioterapia.",Apoio Oncológico
Positivo,"Fiz um workshop de culinária saudável no hospital.",Nutrição
Positivo,"O hospital tem um programa de voluntariado incrível.",Comunidade
Positivo,"Fiz donativo de sangue e o processo foi rápido e confortável.",Banco de Sangue
Positivo,"O Hospital da Luz é simplesmente o melhor hospital privado de Portugal. Ponto final.",Recomendação
Positivo,"Fiz uma consulta de medicina integrativa e finalmente encontrei equilíbrio entre convencional e natural.",Medicina Integrativa
Positivo,"O hospital tem um programa de acupuntura para grávidas que aliviou imenso as náuseas.",Acupuntura
Positivo,"A equipa de homeopatia é excelente e trabalha em conjunto com os médicos convencionais.",Homeopatia
Positivo,"Fiz ozonioterapia para artrose e as dores desapareceram em 3 sessões.",Ozonioterapia
Positivo,"O serviço de osteopatia craniana resolveu as enxaquecas do meu bebé.",Osteopatia
Positivo,"Fiz reflexologia e o stress baixou logo na primeira sessão.",Reflexologia
Positivo,"O hospital tem aromaterapia no bloco de partos – ambiente muito mais calmo.",Aromaterapia
Positivo,"Fiz reiki pós-cirurgia e a recuperação foi muito mais rápida.",Reiki
Positivo,"A equipa de medicina ayurvédica ajudou-me a regular o sono e a digestão.",Ayurveda
Positivo,"Fiz hipnose para deixar de fumar e nunca mais toquei num cigarro.",Hipnoterapia
Positivo,"O hospital tem um programa de mindfulness para doentes oncológicos – mudou tudo.",Mindfulness
Positivo,"Fiz terapia com cristais e pedras quentes – relaxamento total.",Terapias Alternativas
Positivo,"O serviço de naturopatia é muito completo e baseado em evidência.",Naturopatia
Positivo,"Fiz iridologia e descobri desequilíbrios que ninguém tinha visto.",Iridologia
Positivo,"O hospital tem um jardim de plantas medicinais lindo e didático.",Fitoterapia
Positivo,"Fiz consulta de fitoterapia e substitui vários medicamentos por chás e extratos.",Fitoterapia
Positivo,"A equipa de quiropraxia alinhou-me a coluna em 4 sessões.",Quiropraxia
Positivo,"Fiz massagem ayurvédica e senti-me renovado.",Massagem
Positivo,"O hospital oferece banhos de som com taças tibetanas – experiência incrível.",Terapia do Som
Positivo,"Fiz constelações familiares no hospital e resolvi bloqueios antigos.",Constelações Familiares
Positivo,"O serviço de coaching de saúde ajudou-me a mudar hábitos para sempre.",Coaching
Positivo,"Fiz terapia floral de Bach e a ansiedade baixou imenso.",Terapia Floral
Positivo,"O hospital tem um programa de meditação guiada diária para acompanhantes.",Meditação
Positivo,"Fiz cromoterapia e as sessões são muito relaxantes.",Cromoterapia
Positivo,"A equipa de medicina antroposófica é fantástica com crianças.",Antroposofia
Positivo,"Fiz biodança no grupo de doentes oncológicos – energia renovada.",Biodança
Positivo,"O hospital tem um programa de arteterapia excelente.",Arteterapia
Positivo,"Fiz terapia com cavalos e o meu filho autista evoluiu imenso.",Equinoterapia
Positivo,"O serviço de musicoterapia ajudou o meu pai com Alzheimer.",Musicoterapia
Positivo,"Fiz dança terapêutica pós-AVC e recuperei movimentos.",Dança Terapêutica
Positivo,"O hospital tem um atelier de pintura para doentes internados – distração perfeita.",Arte
Positivo,"Fiz teatro terapêutico e ganhei confiança.",Teatro Terapêutico
Positivo,"A equipa de clownterapia na pediatria é mágica – as crianças esquecem a dor.",Clownterapia
